견종,세부견종,색상,출생연도,나이,체중,썸네일,입양여부,성별,중성화 여부,특징,보호장소,final_견종,final_나이,final_체중,final_성별,final_중성화 여부,final_입양여부
믹스,믹스,Brown,2017.01,4.5,8.0,http://www.animal.go.kr/files/shelter/2021/06/202106281906607.jpg,N,F,N,환하게웃는미소가절로웃음을자아넴경계심X입질X제보자분께서많도움을주심,경상북도 구미시,0,4.5,8.0,1,1,N
믹스,믹스,"Brown, White",2020.01,1.5,13.0,http://www.animal.go.kr/files/shelter/2021/07/202107071307935.jpg,N,M,N,"바래진흰색목줄, 순함",경기도 안산시,0,1.5,13.0,0,1,N
믹스,믹스,Beige,2022.01,0.8,12.0,http://www.animal.go.kr/files/shelter/2022/11/202211071511719.jpg,N,M,N,가슴쪽 흰모,부산광역시 강서구,0,0.8,12.0,0,1,N
믹스,믹스,Beige,2021.01,1.0,3.0,http://www.animal.go.kr/files/shelter/2021/12/202112241312834.jpg,N,M,N,"순한아이, 감기심함",경상남도 밀양시,0,1.0,3.0,0,1,N
믹스,믹스,White,2021.01,0.6,1.8,http://www.animal.go.kr/files/shelter/2021/07/20210803160819.jpg,N,M,N,"양귀접힘, 코검정, 사람따름, 온순, 꼬리단미안됨, 털상태",경기도 양주시,0,0.6,1.8,0,1,N
믹스,믹스,Brown,2023.01,0.8,2.0,http://www.animal.go.kr/files/shelter/2023/07/202310201810945.jpg,N,M,N,"10-86, 귀여운 5남매",경기도 광주시,0,0.8,2.0,0,1,N
믹스,믹스,Beige,2021.01,1.2,5.0,http://www.animal.go.kr/files/shelter/2022/03/202203101103748[1].jpg,N,M,N,사납고 경계심이 많음,충청남도 태안군,0,1.2,5.0,0,1,N
믹스,믹스,"Beige, Black",2023.01,0.4,7.0,http://www.animal.go.kr/files/shelter/2023/05/202305241705943[1].jpg,N,F,N,"포획틀구조, 경계심함, 돌아다닌지꽤된듯함, 하게 호피무늬 들어감",경상북도 포항시,0,0.4,7.0,1,1,N
믹스,믹스,Beige,2021.01,2.7,8.0,http://www.animal.go.kr/files/shelter/2023/07/202308312108676.jpg,N,M,N,활발함,충청북도 음성군,0,2.7,8.0,0,1,N
믹스,믹스,White,2020.01,1.0,3.8,http://www.animal.go.kr/files/shelter/2020/11/202012161312381.jpg,N,F,N,,제주특별자치도 제주시,0,1.0,3.8,1,1,N
믹스,믹스,Brown,2018.01,4.1,15.0,http://www.animal.go.kr/files/shelter/2022/01/202202081102306.jpeg,N,F,N,경계가 심한편임,경상북도 의성군,0,4.1,15.0,1,1,N
푸들,푸들,Brown,2014.01,7.8,5.0,http://www.animal.go.kr/files/shelter/2021/10/202111011611117.jpg,N,M,Y,교통사고로 앞다리 골절,전라남도 영광군,1,7.8,5.0,0,0,N
믹스,믹스,Spotted,2021.01,1.0,1.0,http://www.animal.go.kr/files/shelter/2021/12/20211221091246.jpg,N,F,N,"사람을 좋아함, 온순함",전라북도 고창군,0,1.0,1.0,1,1,N
믹스,믹스,"Brown, Ivory",2022.01,0.5,7.0,http://www.animal.go.kr/files/shelter/2022/05/202206201506790.jpg,N,M,N,"인근 저수지에서 구조, 2월",경상북도 경산시,0,0.5,7.0,0,1,N
믹스,믹스,White,2021.01,0.9,3.0,http://www.animal.go.kr/files/shelter/2021/11/202112131712256.jpg,N,M,N,센터안에서 태어난 강아지,경기도 화성시,0,0.9,3.0,0,1,N
믹스,믹스,"Black, Brown",2021.01,0.2,2.0,http://www.animal.go.kr/files/shelter/2021/01/202103111703863.jpg,N,M,N,사람과의 관계가 친화적이다,전라남도 영암군,0,0.2,2.0,0,1,N
믹스,믹스,White,2021.01,0.8,7.8,http://www.animal.go.kr/files/shelter/2021/11/202111050911877[1].jpg,N,M,N,다리올무걸림,제주특별자치도 제주시,0,0.8,7.8,0,1,N
믹스,믹스,White,2020.01,2.3,15.0,http://www.animal.go.kr/files/shelter/2022/03/202204041804242.jpg,N,M,N,매일 교회로 들어옴,전라남도 나주시,0,2.3,15.0,0,1,N
믹스,믹스,"Brown, White",2017.01,4.9,8.0,http://www.animal.go.kr/files/shelter/2021/11/20211211141282.jpg,N,M,N,"양귀쫑긋, 코검정, 겁많음, 소심, 천천히 다가가면 사람 약간 따름, 꼬리단미안됨, 털때탐",경기도 양주시,0,4.9,8.0,0,1,N
믹스,믹스,White,2021.01,0.3,3.0,http://www.animal.go.kr/files/shelter/2021/04/202104151304966.jpg,N,F,N,특이사항 없음,강원도 평창군,0,0.3,3.0,1,1,N
믹스,믹스,White,2021.01,0.6,0.2,http://www.animal.go.kr/files/shelter/2021/07/202107281307834.png,N,M,N,"임신 유기견 출산, 이후 입양 가능",강원도 영월군,0,0.6,0.2,0,1,N
믹스,믹스,"Brown, White",2022.01,0.5,3.5,http://www.animal.go.kr/files/shelter/2022/07/202207182307302.jpg,N,M,N,"2두, 온순함, 사람을잘따름, 영양상태부족",부산광역시 강서구,0,0.5,3.5,0,1,N
믹스,믹스,Black,2020.01,2.1,5.0,http://www.animal.go.kr/files/shelter/2022/01/202201272001453.jpeg,N,F,N,활발함,경상북도 영주시,0,2.1,5.0,1,1,N
믹스,믹스,"Black, Brown, White",2021.01,1.8,5.0,http://www.animal.go.kr/files/shelter/2022/10/202210201110466.jpg,N,M,N,"소심한성격, 눈위에 갈색두점이 특징, 치와와를 닮음",경기도 화성시,0,1.8,5.0,0,1,N
믹스,믹스,Brown,2017.01,4.7,5.0,http://www.animal.go.kr/files/shelter/2021/08/202108311508173.jpg,N,M,N,겁이많음,경기도 양평군,0,4.7,5.0,0,1,N
믹스,믹스,"Beige, White",2016.01,7.2,7.0,http://www.animal.go.kr/files/shelter/2023/05/202305030005321.jpg,N,F,N,사람에 대한 경계가 있으나 활발함,전라남도 장흥군,0,7.2,7.0,1,1,N
믹스,믹스,Black,2021.01,0.4,1.5,http://www.animal.go.kr/files/shelter/2021/06/202106151106980.jpg,N,F,N,"어미없이발견, 자견",강원도 강릉시,0,0.4,1.5,1,1,N
믹스,믹스,White,2018.01,4.2,2.9,http://www.animal.go.kr/files/shelter/2022/03/202203211603805.jpg,N,F,N,온순하고 활발함 한쪽눈이 작음,경상북도 구미시,0,4.2,2.9,1,1,N
믹스,믹스,"Brown, White",2022.01,0.6,4.6,http://www.animal.go.kr/files/shelter/2022/07/20220726150793.jpg,N,M,N,"양귀반접힘, 코검정, 소심, 겁많으나 사람따름, 진드기오염, 꼬리단미안됨, 털상태불량",경기도 양주시,0,0.6,4.6,0,1,N
믹스,믹스,Black,2021.01,0.9,7.1,http://www.animal.go.kr/files/shelter/2021/11/202112060912181.jpg,N,F,N,,제주특별자치도 제주시,0,0.9,7.1,1,1,N
믹스,믹스,"Ivory, White",2016.01,7.4,5.0,http://www.animal.go.kr/files/shelter/2023/05/202306061306989.jpg,N,F,N,"유선종양이 발견, 기운이 없음",전라남도 장흥군,0,7.4,5.0,1,1,N
믹스,믹스,White,2021.01,0.2,1.5,http://www.animal.go.kr/files/shelter/2021/03/202103182103596.jpg,N,F,N,"동복-1, 미등록",충청북도 영동군,0,0.2,1.5,1,1,N
믹스,믹스,White,2019.01,2.2,15.0,http://www.animal.go.kr/files/shelter/2021/01/202103100903934.jpg,N,F,N,경계심,제주특별자치도 제주시,0,2.2,15.0,1,1,N
믹스,믹스,Brown,2023.01,0.7,3.0,http://www.animal.go.kr/files/shelter/2023/07/202309151509684.jpg,N,M,N,갈색,전라남도 완도군,0,0.7,3.0,0,1,N
믹스,믹스,"Brown, White",2019.01,4.3,6.5,http://www.animal.go.kr/files/shelter/2023/04/202304251504808.jpg,N,F,N,"뒷다리를 절뚝거림, 공격성이 강함, 털 관리가 안 되어있음, 북구호",부산광역시 강서구,0,4.3,6.5,1,1,N
믹스,믹스,Brown,2023.01,0.2,10.6,http://www.animal.go.kr/files/shelter/2023/03/202304011304554.jpg,N,M,N,"귀쫑긋, 코검정, 겁많음, 털뭉침, 꼬리단미안됨",경기도 양주시,0,0.2,10.6,0,1,N
믹스,믹스,Brown,2021.01,1.3,15.0,http://www.animal.go.kr/files/shelter/2022/04/202204270904313.jpg,N,F,N,공격성,제주특별자치도 제주시,0,1.3,15.0,1,1,N
믹스,믹스,Brown,2022.01,0.4,3.0,http://www.animal.go.kr/files/shelter/2022/04/20220518090596.jpg,N,F,N,순함,경기도 안산시,0,0.4,3.0,1,1,N
믹스,믹스,White,2023.01,0.3,2.0,http://www.animal.go.kr/files/shelter/2023/03/202304041404807.jpg,N,F,N,활발한성격,경상남도 합천군,0,0.3,2.0,1,1,N
믹스,믹스,White,2022.01,1.6,6.0,http://www.animal.go.kr/files/shelter/2023/07/202307291707841.jpg,N,M,N,온순하나 사람을 조금 경계함,경상북도 영덕군,0,1.6,6.0,0,1,N
믹스,믹스,White,2021.01,2.8,8.0,http://www.animal.go.kr/files/shelter/2023/07/202309221909248.jpg,N,M,N,"초록바탕 노란줄 목줄, 귀끝접힘, 코검정, 피부질환, 공격적, 꼬리단미안됨, 털상태불량",경기도 양주시,0,2.8,8.0,0,1,N
믹스,믹스,Brown,2020.01,1.8,14.5,http://www.animal.go.kr/files/shelter/2021/09/20211007121037[1].jpg,N,M,N,경계심,제주특별자치도 제주시,0,1.8,14.5,0,1,N
믹스,믹스,Brown,2021.01,2.2,21.6,http://www.animal.go.kr/files/shelter/2023/03/202303170903943.jpg,N,M,N,"녹색목줄, 경계심",제주특별자치도 제주시,0,2.2,21.6,0,1,N
믹스,믹스,White,2023.01,0.0,2.0,http://www.animal.go.kr/files/shelter/2023/01/202301181501120.jpg,N,M,N,동배 3마리와 같이 구조,경기도 안성시,0,0.0,2.0,0,1,N
믹스,믹스,White,2023.01,0.8,2.0,http://www.animal.go.kr/files/shelter/2023/07/202310131610903.jpg,N,F,N,겁이 많지만 사람의 손길을 피하지 않음,경기도 남양주시,0,0.8,2.0,1,1,N
믹스,믹스,White,2021.01,0.5,2.8,http://www.animal.go.kr/files/shelter/2021/07/202107201707357.jpg,N,F,N,온순함,전라남도 담양군,0,0.5,2.8,1,1,N
믹스,믹스,Black,2020.01,1.0,8.0,http://www.animal.go.kr/files/shelter/2020/11/202012161312705.jpg,N,F,N,570번과 같이 들어옴,경기도 양평군,0,1.0,8.0,1,1,N
믹스,믹스,White,2022.01,0.1,16.0,http://www.animal.go.kr/files/shelter/2022/01/202201270901887.jpg,N,M,N,들개가 자주 집에 출몰한다는 신고 받고 포획틀 설치 후 포획,전라남도 무안군,0,0.1,16.0,0,1,N
믹스,믹스,"Beige, White",2023.01,0.5,6.0,http://www.animal.go.kr/files/shelter/2023/05/202307120907502.jpg,N,F,N,"불법 덫에 다리 다침, 케어 필요",경상남도 함안군,0,0.5,6.0,1,1,N
믹스,믹스,White,2020.01,1.0,3.8,http://www.animal.go.kr/files/shelter/2020/11/20201231231299.jpg,N,M,N,들개-모견과 함께 포획,전라북도 전주시,0,1.0,3.8,0,1,N
믹스,믹스,White,2014.01,7.7,15.0,http://www.animal.go.kr/files/shelter/2021/09/202109060809580.jpg,N,F,N,"흰색털, 온순한 성격",전라북도 부안군,0,7.7,15.0,1,1,N
진도,진도,White,2021.01,0.9,13.0,http://www.animal.go.kr/files/shelter/2021/11/202111301511783.jpg,N,M,N,"진도 믹스, 겁이 많고 예민하며 입질이 있음, 파란색 목줄, 쇠 리드줄 착용",충청북도 청주시,1,0.9,13.0,0,1,N
믹스,믹스,Beige,2019.01,4.4,19.0,http://www.animal.go.kr/files/shelter/2023/05/202305181505881.jpg,N,M,N,"들개 서식지에서 구조, 경계심과 공격성이 강함, 진드기 도포, 북구호",부산광역시 강서구,0,4.4,19.0,0,1,N
믹스,믹스,White,2021.01,0.2,2.9,http://www.animal.go.kr/files/shelter/2021/03/202103251003299.jpg,N,M,N,,제주특별자치도 제주시,0,0.2,2.9,0,1,N
믹스,믹스,White,2019.01,4.6,12.0,http://www.animal.go.kr/files/shelter/2023/07/202308141708749.jpg,N,M,N,석양,광주광역시 북구,0,4.6,12.0,0,1,N
믹스,믹스,White,2021.01,2.8,11.4,http://www.animal.go.kr/files/shelter/2023/07/20231106231132.jpg,N,F,N,"들개, 포악",인천광역시 강화군,0,2.8,11.4,1,1,N
믹스,믹스,"Beige, Brown",2017.01,4.8,13.0,http://www.animal.go.kr/files/shelter/2021/09/202110041510334.jpg,N,F,N,새끼를 낳아서 경계가 심함,경기도 남양주시,0,4.8,13.0,1,1,N
믹스,믹스,"Black, White",2021.01,0.8,4.5,http://www.animal.go.kr/files/shelter/2021/10/202110191410388.jpg,N,F,N,경계심이 강함,경상남도 남해군,0,0.8,4.5,1,1,N
발바리,발바리,"Brown, White",2017.01,5.0,8.5,http://www.animal.go.kr/files/shelter/2021/12/202112191712229.jpg,N,M,N,옷착용,강원도 원주시,1,5.0,8.5,0,1,N
믹스,믹스,Black,2023.01,0.8,2.5,http://www.animal.go.kr/files/shelter/2023/11/202311201611164.jpg,N,F,N,강아지,경기도 고양시,0,0.8,2.5,1,1,N
믹스,믹스,"Brown, White",2022.01,0.3,2.7,http://www.animal.go.kr/files/shelter/2022/04/202204061404365.jpg,N,M,N,"양귀반접힘, 코검정, 겁있음, 소심함, 사람따름, 꼬리단미안됨, 털때탐",경기도 양주시,0,0.3,2.7,0,1,N
믹스,믹스,White,2022.01,0.6,7.4,http://www.animal.go.kr/files/shelter/2022/08/202208191408668.jpg,N,F,N,"빨간 목띠 착용, 입소전 검사 완료, 종합백신, 광견병 접종",전라남도 여수시,0,0.6,7.4,1,1,N
믹스,믹스,"Black, Brown",2023.01,0.4,4.0,http://www.animal.go.kr/files/shelter/2023/05/202305311005227.jpg,N,F,N,온순함,경상북도 의성군,0,0.4,4.0,1,1,N
믹스,믹스,Brown,2020.01,1.1,3.3,http://www.animal.go.kr/files/shelter/2020/11/20210127120150.jpg,N,M,N,,충청남도 서산시,0,1.1,3.3,0,1,N
믹스,믹스,White,2020.01,1.5,6.0,http://www.animal.go.kr/files/shelter/2021/07/202107102307284.jpg,N,F,N,녹색목줄 착용,전라북도 전주시,0,1.5,6.0,1,1,N
믹스,믹스,"Beige, White",2022.01,0.0,1.0,http://www.animal.go.kr/files/shelter/2022/01/202201131701203.jpg,N,F,N,애교가 많고 온순함,전라북도 부안군,0,0.0,1.0,1,1,N
믹스,믹스,Tri,2023.01,0.8,4.0,http://www.animal.go.kr/files/shelter/2023/07/202310171110623.jpg,N,F,N,"대마산단, 어미먼저 포획, 온순함",전라남도 영광군,0,0.8,4.0,1,1,N
믹스,믹스,White,2022.01,0.5,5.0,http://www.animal.go.kr/files/shelter/2022/04/202206160906701.jpg,N,M,N,순함,전라남도 화순군,0,0.5,5.0,0,1,N
믹스,믹스,"Black, White",2018.01,4.5,5.8,http://www.animal.go.kr/files/shelter/2022/07/20220714130766.jpeg,N,F,N,흰색에 검정 무늬,강원도 원주시,0,4.5,5.8,1,1,N
믹스,믹스,White,2021.01,0.5,3.0,http://www.animal.go.kr/files/shelter/2021/07/202107121707609.png,N,M,N,피부병 심함발견자가 입양희망,경상북도 경주시,0,0.5,3.0,0,1,N
믹스,믹스,Beige,2020.01,1.2,4.0,http://www.animal.go.kr/files/shelter/2021/03/202103220903144.jpg,N,F,N,피부병이 심하여 구조 직후 치료 피부병 주사 접종 및 피부병 약 처방 후 복용중,전라남도 담양군,0,1.2,4.0,1,1,N
믹스,믹스,White,2023.01,0.3,11.5,http://www.animal.go.kr/files/shelter/2023/04/202304140904768.jpg,N,M,N,경계심,제주특별자치도 제주시,0,0.3,11.5,0,1,N
믹스,믹스,White,2021.01,0.1,0.3,http://www.animal.go.kr/files/shelter/2020/11/202102171302328.jpg,N,M,N,강아지,경기도 평택시,0,0.1,0.3,0,1,N
믹스,믹스,White,2019.01,2.9,10.0,http://www.animal.go.kr/files/shelter/2021/11/20211203221240.jpg,N,M,N,"경계심 강한아이, 친해질 시간 필요",경상남도 밀양시,0,2.9,10.0,0,1,N
믹스,믹스,White,2020.01,3.2,18.0,http://www.animal.go.kr/files/shelter/2023/03/202303301503440[1].jpg,N,F,N,"녹색 목줄 착용, 매우 순하고 보호자 있는것으로",전라북도 군산시,0,3.2,18.0,1,1,N
믹스,믹스,Parti,2023.01,0.1,3.0,http://www.animal.go.kr/files/shelter/2023/01/202302101502548.jpg,N,M,N,"역삼각형 얼굴이 귀여움, 눈물 자국 짝있음, 온순한 아이",경상남도 밀양시,0,0.1,3.0,0,1,N
믹스,믹스,Black,2023.01,0.2,2.0,http://www.animal.go.kr/files/shelter/2023/03/202303282003336.jpg,N,M,N,작아요ㅜ그냥 도로인데 누가 여기에 버렸는지 참,전라남도 영광군,0,0.2,2.0,0,1,N
믹스,믹스,Brown,2022.01,0.2,0.5,http://www.animal.go.kr/files/shelter/2022/03/20220309180340.jpg,N,M,N,분유급여-이유,전라북도 전주시,0,0.2,0.5,0,1,N
믹스,믹스,"Beige, Black",2021.01,1.0,1.8,http://www.animal.go.kr/files/shelter/2021/12/202112201612744.png,N,F,N,"6두, 포동포동한몸집, 온순함",부산광역시 강서구,0,1.0,1.8,1,1,N
포메라니안,포메라니안,Brown,2014.01,8.9,4.0,http://www.animal.go.kr/files/shelter/2022/11/202212071712335.jpg,N,M,N,옷을 입고 하네스 착용한 채로 길을 돌아다님,대구광역시 달성군,1,8.9,4.0,0,1,N
믹스,믹스,Beige,2021.01,2.8,5.1,http://www.animal.go.kr/files/shelter/2023/07/202310192210306.jpg,N,M,N,"낯가림, 진한눈물자국, 가슴에 흰털",전라남도 무안군,0,2.8,5.1,0,1,N
푸들,푸들,White,2022.01,1.6,2.0,http://www.animal.go.kr/files/shelter/2023/07/202308111008970.jpg,N,M,N,"순함, 미용됨",인천광역시 계양구,1,1.6,2.0,0,1,N
믹스,믹스,White,2023.01,0.3,3.2,http://www.animal.go.kr/files/shelter/2023/04/202304130904626.jpg,N,M,N,좌상악부종,제주특별자치도 제주시,0,0.3,3.2,0,1,N
믹스,믹스,"Black, White",2022.01,0.4,5.0,http://www.animal.go.kr/files/shelter/2022/05/202206031606121.jpg,N,M,N,순함,경상남도 거제시,0,0.4,5.0,0,1,N
믹스,믹스,"Black, White",2019.01,2.7,7.0,http://www.animal.go.kr/files/shelter/2021/09/202109272009210.jpg,N,F,N,사람을 잘 따름,전라남도 나주시,0,2.7,7.0,1,1,N
믹스,믹스,"Black, Brown, White",2019.01,2.7,7.0,http://www.animal.go.kr/files/shelter/2021/09/20210917090986.png,N,M,N,"사람을 매우 좋아하며, 온순하다",전라남도 영암군,0,2.7,7.0,0,1,N
믹스,믹스,"Beige, Black",2018.01,5.6,10.0,http://www.animal.go.kr/files/shelter/2023/07/202308231908425.jpg,N,M,N,최근 유기,경상남도 창녕군,0,5.6,10.0,0,1,N
믹스,믹스,"Beige, White",2023.01,0.6,4.0,http://www.animal.go.kr/files/shelter/2023/05/202307241607411.jpg,N,F,N,"목줄착용, 순한데 겁이 조금 있는 공주님, 모견, 형제와 함께 입소!!",경상남도 창원시,0,0.6,4.0,1,1,N
믹스,믹스,Beige,2022.01,0.4,2.0,http://www.animal.go.kr/files/shelter/2022/06/202206241006790.jpg,N,M,N,발목부분 흰색,강원도 원주시,0,0.4,2.0,0,1,N
믹스,믹스,White,2023.01,0.6,3.0,http://www.animal.go.kr/files/shelter/2023/07/202308241608147.jpg,N,F,N,농수로에서구조,전라남도 나주시,0,0.6,3.0,1,1,N
믹스,믹스,"Black, Brown, White",2019.01,2.9,3.1,http://www.animal.go.kr/files/shelter/2021/12/202112221512488.jpg,N,F,N,구조시 빨강목줄착용,경상남도 산청군,0,2.9,3.1,1,1,N
믹스,믹스,"Beige, Brown",2022.01,0.3,4.0,http://www.animal.go.kr/files/shelter/2022/04/202205091205952[1].jpg,N,F,N,5마리같이입소,인천광역시 계양구,0,0.3,4.0,1,1,N
믹스,믹스,Beige,2022.01,0.3,3.0,http://www.animal.go.kr/files/shelter/2022/05/202205181505689[1].jpg,N,M,N,모견과 함께 구조됨,전라남도 장흥군,0,0.3,3.0,0,1,N
믹스,믹스,White,2021.01,0.6,0.88,http://www.animal.go.kr/files/shelter/2021/08/202108091408215.jpeg,N,M,N,순함,전라남도 무안군,0,0.6,0.9,0,1,N
믹스,믹스,Brown,2021.01,0.3,1.5,http://www.animal.go.kr/files/shelter/2021/03/20210410090480[1].jpg,N,F,N,,대구광역시 동구,0,0.3,1.5,1,1,N
믹스,믹스,White,2021.01,0.9,3.3,http://www.animal.go.kr/files/shelter/2021/11/202112091312951.jpg,N,F,N,"온순, 배꼽탈장",경상북도 경주시,0,0.9,3.3,1,1,N
믹스,믹스,"Beige, White",2016.01,6.2,17.7,http://www.animal.go.kr/files/shelter/2022/03/202203181403207.jpg,N,M,N,사나움,경기도 안성시,0,6.2,17.7,0,1,N
믹스,믹스,"Beige, Black",2022.01,0.9,2.0,http://www.animal.go.kr/files/shelter/2022/11/202211281111632.jpg,N,F,N,4마리 함께구조,충청남도 천안시,0,0.9,2.0,1,1,N
믹스,믹스,White,2021.01,0.8,2.2,http://www.animal.go.kr/files/shelter/2021/09/202110051910105.jpg,N,M,N,믹스 흰색 수컷,전라남도 광양시,0,0.8,2.2,0,1,N
믹스,믹스,White,2019.01,2.6,15.5,http://www.animal.go.kr/files/shelter/2021/08/202108181308271.jpg,N,M,N,"목상처, 경계심",제주특별자치도 제주시,0,2.6,15.5,0,1,N
진도,진도,Brown,2018.01,4.8,17.0,http://www.animal.go.kr/files/shelter/2022/11/202211081911661.jpg,N,F,N,목줄착용,강원도 원주시,1,4.8,17.0,1,1,N
푸들,푸들,Brown,2016.01,7.1,4.0,http://www.animal.go.kr/files/shelter/2023/01/202302060902948.jpg,N,M,Y,후송중사망,인천광역시 계양구,1,7.1,4.0,0,0,N
믹스,믹스,Black,2022.01,0.1,4.7,http://www.animal.go.kr/files/shelter/2022/02/202202221502360.jpg,N,M,N,"양 귀 처짐, 코검정, 겁, 소심",경기도 양주시,0,0.1,4.7,0,1,N
믹스,믹스,White,2023.01,0.4,0.3,http://www.animal.go.kr/files/shelter/2023/05/202305121505621.jpg,N,M,N,"젖먹이고 있슴, 순함",충청남도 예산군,0,0.4,0.3,0,1,N
믹스,믹스,White,2022.01,0.5,3.2,http://www.animal.go.kr/files/shelter/2022/04/202206171606323.jpg,N,M,N,"귀처짐, 코검정분홍, 양후지 며느리발톱, 겁많음, 소심, 낑낑댐, 꼬리단미안됨, 털때탐, 진드기오염",경기도 양주시,0,0.5,3.2,0,1,N
믹스,믹스,White,2021.01,0.8,2.0,http://www.animal.go.kr/files/shelter/2021/10/202110121810772.jpg,N,F,N,흰색털에 쫑긋한 귀,충청남도 부여군,0,0.8,2.0,1,1,N
믹스,믹스,"Brown, White",2021.01,1.4,4.0,http://www.animal.go.kr/files/shelter/2022/04/20220527100554.jpg,N,M,N,귀가 크고 성격이 순한 귀여운 멍멍이 ♡,경상남도 사천시,0,1.4,4.0,0,1,N
믹스,믹스,"Black, Brown",2022.01,0.2,2.6,http://www.animal.go.kr/files/shelter/2022/03/202203140903507.jpg,N,M,N,,제주특별자치도 제주시,0,0.2,2.6,0,1,N
믹스,믹스,"Brown, White",2017.01,5.7,6.8,http://www.animal.go.kr/files/shelter/2022/08/202209011209732.jpg,N,M,N,순함,대구광역시 중구,0,5.7,6.8,0,1,N
믹스,믹스,"Black, White",2020.01,3.9,27.0,http://www.animal.go.kr/files/shelter/2023/07/202311091511376.jpg,N,M,Y,"미친듯이 해맑고 밝 성격, 그리고 쫌 ㄸ, 뚜, 뚱뚱함, 묵직한 애교 장착중",경상북도 포항시,0,3.9,27.0,0,0,N
믹스,믹스,White,2023.01,0.2,3.0,http://www.animal.go.kr/files/shelter/2023/03/202303231503866.jpg,N,M,N,유기견 새끼로 온순함,전라남도 구례군,0,0.2,3.0,0,1,N
믹스,믹스,Black,2020.01,2.7,7.0,http://www.animal.go.kr/files/shelter/2022/09/202209072109402.jpg,N,F,N,"까만털이 너무 예쁜 아이, 온순",경상남도 밀양시,0,2.7,7.0,1,1,N
믹스,믹스,Brown,2023.01,0.2,10.1,http://www.animal.go.kr/files/shelter/2023/03/202303300903329.jpg,N,F,N,경계심,제주특별자치도 제주시,0,0.2,10.1,1,1,N
믹스,믹스,"Black, Brown",2022.01,0.5,0.8,http://www.animal.go.kr/files/shelter/2022/04/202207061707188.jpg,N,F,N,인근 공사현장에서 구조,경상북도 경산시,0,0.5,0.8,1,1,N
믹스,믹스,White,2023.01,0.6,2.0,http://www.animal.go.kr/files/shelter/2023/07/202308101008653.jpg,N,F,N,개농장 구조,전라북도 군산시,0,0.6,2.0,1,1,N
믹스,믹스,Brown,2021.01,1.0,2.0,http://www.animal.go.kr/files/shelter/2021/12/202112311712441.jpg,N,F,N,,전라남도 나주시,0,1.0,2.0,1,1,N
믹스,믹스,White,2018.01,3.0,27.0,http://www.animal.go.kr/files/shelter/2020/11/202012172012824[1].jpg,N,M,N,"진도 믹스견, 꼬리가 반이 짤림, 소 축사 안으로 들어옴",세종특별자치시  전동면,0,3.0,27.0,0,1,N
믹스,믹스,White,2023.01,0.4,2.0,http://www.animal.go.kr/files/shelter/2023/05/202305121705388.png,N,F,N,"대형견, 겁이 많음",전라북도 남원시,0,0.4,2.0,1,1,N
믹스,믹스,White,2021.01,0.6,0.56,http://www.animal.go.kr/files/shelter/2021/08/202108241308372.jpg,N,M,N,"교통사고로 어미 사망 후 8마리 구조, 인공포유 필요",인천광역시 중구,0,0.6,0.6,0,1,N
믹스,믹스,White,2022.01,0.8,2.0,http://www.animal.go.kr/files/shelter/2022/09/202210182210558.jpg,N,M,N,"쌔까만 눈, 코가 귀여운 아이, 온순",경상남도 밀양시,0,0.8,2.0,0,1,N
믹스,진도,"Beige, Black",2021.01,1.0,1.6,http://www.animal.go.kr/files/shelter/2021/12/202112171412185.jpg,N,M,N,,전라남도 진도군,0,1.0,1.6,0,1,N
믹스,믹스,Beige,2023.01,0.0,0.5,http://www.animal.go.kr/files/shelter/2022/12/202301091601152.jpg,N,M,N,피부병 있음,전라남도 보성군,0,0.0,0.5,0,1,N
믹스,믹스,White,2023.01,0.0,8.0,http://www.animal.go.kr/files/shelter/2022/12/202301041601388.jpg,N,F,N,녹빨목줄,제주특별자치도 제주시,0,0.0,8.0,1,1,N
믹스,믹스,"Beige, Black",2021.01,1.0,1.5,http://www.animal.go.kr/files/shelter/2021/12/202201030901168.jpg,N,F,N,특이사항 없음,경상북도 영주시,0,1.0,1.5,1,1,N
믹스,믹스,"Black, White",2021.01,2.2,6.5,http://www.animal.go.kr/files/shelter/2023/03/202303231403518.jpg,N,M,N,"녹색 목띠착용, 경계심이 많음",경기도 여주시,0,2.2,6.5,0,1,N
믹스,믹스,"Black, White",2021.01,0.6,3.0,http://www.animal.go.kr/files/shelter/2021/07/202107211307137.jpg,N,M,N,9마리 같이 입소,충청남도 보령시,0,0.6,3.0,0,1,N
믹스,믹스,Brown,2021.01,0.1,3.5,http://www.animal.go.kr/files/shelter/2020/11/202101291101947.jpg,N,M,N,믹스 갈색 수컷,전라남도 광양시,0,0.1,3.5,0,1,N
믹스,믹스,Ivory,2022.01,0.9,0.9,http://www.animal.go.kr/files/shelter/2022/11/202212061312980.jpg,N,F,N,진한크림색,경상북도 영주시,0,0.9,0.9,1,1,N
푸들,푸들,Brown,2012.01,10.5,11.0,http://www.animal.go.kr/files/shelter/2022/06/20220708160754.jpg,N,M,N,"호흡 곤란, 복부 팽만",대구광역시 달성군,1,10.5,11.0,0,1,N
믹스,믹스,Brown,2019.01,3.4,7.0,http://www.animal.go.kr/files/shelter/2022/04/202205241005806[1].jpg,N,F,N,순하다,전라북도 김제시,0,3.4,7.0,1,1,N
